  Dato	Referanse	Beløpet gjelder	Valuta	Kurs	Inn	Ut  
     12.08.2019	 	Innbetaling	 	 	1.968,40	
     06.08.2019	 	Innbetaling	 	 	4.247,00	
     05.08.2019	 	Innbetaling	 	 	1.230,00	
     05.08.2019	 	Innbetaling	 	 	1.230,00	
     01.08.2019	 	Innbetaling	 	 	1.400,00	
     31.07.2019	 	Innbetaling	 	 	2.899,00	
     29.07.2019	 	Månedspris MasterCard SAS EuroBonus	 	 		99,00  
     16.08.2019	 	Reservert	 	 		350,00  
     16.08.2019	 	Reservert	 	 		19,67  
     16.08.2019	 	Reservert	7,06 USD			62,98  
     15.08.2019	 	Reservert	 	 		2.636,00  
     15.08.2019	 	Reservert	 	 		338,80  
     15.08.2019	 	Reservert	 	 		71,00  
     15.08.2019	 	Reservert	 	 		559,00  
     15.08.2019	 	Reservert	 	 		7.996,00  
     14.08.2019	 	Kindle Svcs*MO0877O62, 866-321-8851, US	7,06 USD	9.109		64,31  
     14.08.2019	 	ITUNES.COM/BILL, ITUNES.COM	 	 		119,00  
     14.08.2019	 	WIPE, BERGEN	 	 	1.668,25	
     14.08.2019	 	SHAM SYRISK KJ@, OSLO	 	 		125,00  
     13.08.2019	 	Vipps *Spleis, Oslo	 	 		200,00  
     12.08.2019	 	EasyPark, 23 30 88 80	 	 		82,80  
     12.08.2019	 	Meny Bjoelsen, Oslo	 	 		1.804,88  
     12.08.2019	 	ITUNES.COM/BILL, 80056952	 	 		29,00  
     10.08.2019	 	PAYPAL *MICROSOFT SUBS, 35314369001	 	 		99,00  
     10.08.2019	 	STEAMGAMES.COM 4259522, Hamburg	 	 		58,80 
